"2022 American League Team Standings
2022 All-Star Game | 2022 Team Standings | 2022 World Series"
East,Team | Roster,W,L,T,WP,GB
New York Yankees,99,63,0,.611,-
Toronto Blue Jays,92,70,0,.568,7.0
Tampa Bay Rays,86,76,0,.531,13.0
Baltimore Orioles,83,79,0,.512,16.0
Boston Red Sox,78,84,0,.481,21.0
Central,Team | Roster,W,L,T,WP,GB
Cleveland Guardians,92,70,0,.568,-
Chicago White Sox,81,81,0,.500,11.0
Minnesota Twins,78,84,0,.481,14.0
Detroit Tigers,66,96,0,.407,26.0
Kansas City Royals,65,97,0,.401,27.0
West,Team | Roster,W,L,T,WP,GB
Houston Astros,106,56,0,.654,-
Seattle Mariners,90,72,0,.556,16.0
Los Angeles Angels,73,89,0,.451,33.0
Texas Rangers,68,94,0,.420,38.0
Oakland Athletics,60,102,0,.370,46.0
A.L.,Team | Roster,W,L,T,WP,GB
2022 American League Standings
