"2016 American League
Team Standings"
East,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
Boston Red Sox,93,69,0,.574,--,$
Baltimore Orioles,89,73,0,.549,4,$
Toronto Blue Jays,89,73,0,.549,4,$
New York Yankees,84,78,0,.519,9,$
Tampa Bay Rays,68,94,0,.420,25,$
Central,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
Cleveland Indians,94,67,0,.584,--,$
Detroit Tigers,86,75,0,.534,8,$
Kansas City Royals,81,81,0,.500,13.5,$
Chicago White Sox,78,84,0,.481,16.5,$
Minnesota Twins,59,103,0,.364,35.5,$
West,Team [Click for roster],Wins,Losses,Ties,WP,GB,Payroll
Texas Rangers,95,67,0,.586,--,$
Seattle Mariners,86,76,0,.531,9,$
Houston Astros,84,78,0,.519,11,$
Los Angeles Angels,74,88,0,.457,21,$
Oakland Athletics,69,93,0,.426,26,$
2016 American League Final Standings
"Seasonal Events: All-Star Game | Home Run Derby | World Series
Navigation: Year in Review Menu | Previous Season | Next Season
Miscellaneous: N.L. Leaderboard | Rookies List"
