"2018 American League Team Standings
2018 All-Star Game | 2018 Team Standings | 2018 World Series"
East,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Boston Red Sox,108,54,0,.667,--,"$206,247,686"
New York Yankees,100,62,0,.617,8.0,"$161,305,917"
Tampa Bay Rays,90,72,0,.556,18.0,"$69,605,999"
Toronto Blue Jays,73,89,0,.451,35.0,"$164,122,200"
Baltimore Orioles,47,115,0,.290,61.0,"$148,160,873"
Central,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Cleveland Indians,91,71,0,.562,--,"$136,652,167"
Minnesota Twins,78,84,0,.481,13.0,"$129,560,000"
Detroit Tigers,64,98,0,.395,27.0,"$111,286,000"
Chicago White Sox,62,100,0,.383,29.0,"$86,050,333"
Kansas City Royals,58,104,0,.358,33.0,"$115,483,116"
West,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Houston Astros,103,59,0,.636,--,"$172,038,900"
Oakland Athletics,97,65,0,.599,6.0,"$62,652,500"
Seattle Mariners,89,73,0,.549,14.0,"$165,303,943"
Los Angeles Angels,80,82,0,.494,23.0,"$171,248,332"
Texas Rangers,67,95,0,.414,36.0,"$128,821,249"
A.L.,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
2018 American League Final Standings
