"2017 American League Team Standings
2017 All-Star Game | 2017 Team Standings | 2017 World Series"
East,Team | Roster,Wins,Losses,Ties,WP,GB
Boston Red Sox,93,69,0,.574,--
New York Yankees,91,71,0,.562,2.0
Tampa Bay Rays,80,82,0,.494,13.0
Toronto Blue Jays,76,86,0,.469,17.0
Baltimore Orioles,75,87,0,.463,18.0
Central,Team | Roster,Wins,Losses,Ties,WP,GB
Cleveland Indians,102,60,0,.630,--
Minnesota Twins,85,77,0,.525,17.0
Kansas City Royals,80,82,0,.494,22.0
Chicago White Sox,67,95,0,.414,35.0
Detroit Tigers,64,98,0,.395,38.0
West,Team | Roster,Wins,Losses,Ties,WP,GB
Houston Astros,101,61,0,.623,--
Los Angeles Angels,80,82,0,.494,21.0
Seattle Mariners,78,84,0,.481,23.0
Texas Rangers,78,84,0,.481,23.0
Oakland Athletics,75,87,0,.463,26.0
A.L.,Team | Roster,Wins,Losses,Ties,WP,GB
2017 American League Final Standings
