"2021 American League Team Standings
2021 All-Star Game | 2021 Team Standings | 2021 World Series"
East,Team | Roster,W,L,T,WP,GB
Tampa Bay Rays,100,62,0,.617,--
Boston Red Sox,92,70,0,.568,8.0
New York Yankees,92,70,0,.568,8.0
Toronto Blue Jays,91,71,0,.562,9.0
Baltimore Orioles,52,110,0,.321,48.0
Central,Team | Roster,W,L,T,WP,GB
Chicago White Sox,93,69,0,.586,--
Cleveland Indians,80,82,0,.494,13.0
Detroit Tigers,77,85,0,.475,16.0
Kansas City Royals,74,88,0,.457,19.0
Minnesota Twins,73,89,0,.451,20.0
West,Team | Roster,W,L,T,WP,GB
Houston Astros,95,67,0,.586,--
Seattle Mariners,90,72,0,.556,5.0
Oakland Athletics,86,76,0,.531,9.0
Los Angeles Angels,77,85,0,.754,18.0
Texas Rangers,60,102,0,.370,35.0
A.L.,Team | Roster,W,L,T,WP,GB
2021 American League Standings
