"2011 American League Standings
2011 All-Star Game | 2011 Team Standings | 2011 World Series"
East,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
New York Yankees,97,65,0,.599,--,"$202,689,028"
Tampa Bay Rays,91,71,0,.562,6,"$41,053,571"
Boston Red Sox,90,72,0,.556,7,"$161,762,475"
Toronto Blue Jays,81,81,0,.500,16,"$62,567,800"
Baltimore Orioles,69,93,0,.426,28,"$85,304,038"
Central,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Detroit Tigers,95,67,0,.586,--,"$105,700,231"
Cleveland Indians,80,82,0,.494,15,"$49,190,566"
Chicago White Sox,79,83,0,.488,16,"$127,789,000"
Kansas City Royals,71,91,0,.438,24,"$36,126,000"
Minnesota Twins,63,99,0,.389,32,"$112,737,000"
West,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
Texas Rangers,96,66,0,.593,--,"$92,299,264"
Los Angeles Angels,86,76,0,.531,10,"$138,543,166"
Oakland Athletics,74,88,0,.457,22,"$66,536,500"
Seattle Mariners,67,95,0,.414,29,"$86,524,600"
A.L.,Team | Roster,Wins,Losses,Ties,WP,GB,Payroll
2011 American League Final Standings
